30.93,0.196,,24.154,0.15,,,,1.05,7.3
5.239891,0.0615,,85.8141,0,,,1.22,1.13,3.3
835.477,2.14,,3524.59,0.462,,,20.9,2.17,0.95
1143,1.97,,2269.3062,0.2,,,0.9,0.84,
1056.4,2.5,,1398.452,0.26,,,8.03,1.94,1.41
825.9,1.82,,1433.4133,0.03,,,1.45,1.18,1.9
324,0.92,,899.42,0.46,,,1.5,1.4,0.15
663.2,1.24,,114.41,0.14,,,0.53,0.58,4.3
1818,2.44,,295.57,0.2,,,0.53,0.58,4.3
610.2,1.6,,2002.329,0.28,,,25.11,1.49,3.24
937.70001,1.73,,362.3262,0.23,,,0.76,0.6,
4000,5.34,,113.46531,0.458,,,2.14,1.27,
1121.79,2.067,,262.20975,0.079,,,1.47,0.94,10.116
83.9151,0.36,,3397.6027,0.34,,,1.2,0.8,
493.7,1.16,,349.6,0.144,,,,0.85,
4319,,,194.19413,0,,,,0.85,
1622.1,2.9,,1535.1189,0.3743,,,1.34,1.24,2.3
223.41,0.774,,129.67464,0.193,,,1.34,1.24,2.3
670,1.65,,444.962,0,,,4.89,0.83,
907,,,403.6441,0.038,,,,1.33,
2621.75,3.787,,612.14058,0.157,,,1.07,1.05,4.192
433.70001,1.09,,1789.3829,0.19,,,20.58,0.72,
25.8,0.18,,55.30242,0.15,,,,1.08,
6.1335,0.07,,886.7457,0.31,,,2.06,1.84,
1945,3.16,,198,0.041,,,2.01,0.91,
